0 	 3.19979
0.25 	 2.96305
0.5 	 3.25636
0.75 	 3.14399
1 	 3.36486
1.25 	 3.23869
1.5 	 3.11996
1.75 	 3.33558
2 	 3.40335
2.25 	 3.37328
2.5 	 3.79339
2.75 	 3.3913
3 	 3.67809
3.25 	 3.54412
3.5 	 3.83271
3.75 	 4.06239
4 	 4.86915
4.25 	 4.99157
4.5 	 5.6611
4.75 	 5.77826
5 	 6.41218
5.25 	 5.70773
5.5 	 5.97822
5.75 	 5.34794
6 	 5.08871
6.25 	 4.74012
6.5 	 4.60836
6.75 	 4.90165
7 	 4.4393
7.25 	 4.88769
7.5 	 4.51611
7.75 	 4.471
8 	 4.90987
8.25 	 4.66947
8.5 	 5.00508
8.75 	 4.99338
9 	 4.77275
9.25 	 4.81016
9.5 	 4.84125
9.75 	 4.92633
10 	 4.76794
